ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,6,STATE.TXT,0.55682,0.56977,0.56322,1
ROUGE-1+StopWordRemoval,7,STATE.TXT,0.98305,0.96667,0.97479,1
ROUGE-1+StopWordRemoval,8,STATE.TXT,0.575,0.5,0.53488,1
ROUGE-1+StopWordRemoval,9,STATE.TXT,0.70968,0.55696,0.62411,1
ROUGE-1+StopWordRemoval,60,STATE.TXT,0.47788,0.44628,0.46154,1
ROUGE-1+StopWordRemoval,61,STATE.TXT,0.6,0.4,0.48,1
ROUGE-1+StopWordRemoval,62,STATE.TXT,0.87368,0.82178,0.84694,1
ROUGE-1+StopWordRemoval,63,STATE.TXT,0.33333,0.34146,0.33735,1
ROUGE-1+StopWordRemoval,20,STATE.TXT,0.6875,0.57391,0.62559,1
ROUGE-1+StopWordRemoval,64,STATE.TXT,0.63158,0.43636,0.51613,1
ROUGE-1+StopWordRemoval,21,STATE.TXT,0.65789,0.52083,0.5814,1
ROUGE-1+StopWordRemoval,65,STATE.TXT,0.74359,0.75325,0.74839,1
ROUGE-1+StopWordRemoval,22,STATE.TXT,0.88194,0.56444,0.68835,1
ROUGE-1+StopWordRemoval,23,STATE.TXT,0.77778,0.8,0.78873,1
ROUGE-1+StopWordRemoval,24,STATE.TXT,0.86154,0.69136,0.76712,1
ROUGE-1+StopWordRemoval,25,STATE.TXT,0.58667,0.49438,0.53659,1
ROUGE-1+StopWordRemoval,26,STATE.TXT,1,0.85417,0.92135,1
ROUGE-1+StopWordRemoval,27,STATE.TXT,0.68966,0.625,0.65574,1
ROUGE-1+StopWordRemoval,28,STATE.TXT,0.53333,0.46377,0.49612,1
ROUGE-1+StopWordRemoval,29,STATE.TXT,0.96721,0.98333,0.97521,1
ROUGE-1+StopWordRemoval,30,STATE.TXT,0.67416,0.67416,0.67416,1
ROUGE-1+StopWordRemoval,31,STATE.TXT,0.95652,0.97778,0.96703,1
ROUGE-1+StopWordRemoval,32,STATE.TXT,0.93333,0.83582,0.88189,1
ROUGE-1+StopWordRemoval,33,STATE.TXT,0.76923,0.70423,0.73529,1
ROUGE-1+StopWordRemoval,34,STATE.TXT,0.90625,0.84058,0.87218,1
ROUGE-1+StopWordRemoval,35,STATE.TXT,0.9661,0.98276,0.97436,1
ROUGE-1+StopWordRemoval,36,STATE.TXT,0.9,0.79747,0.84564,1
ROUGE-1+StopWordRemoval,37,STATE.TXT,0.77027,0.64045,0.69939,1
ROUGE-1+StopWordRemoval,38,STATE.TXT,0.84746,0.79365,0.81967,1
ROUGE-1+StopWordRemoval,39,STATE.TXT,0.97917,0.97917,0.97917,1
ROUGE-1+StopWordRemoval,40,STATE.TXT,0.7193,0.7069,0.71304,1
ROUGE-1+StopWordRemoval,41,STATE.TXT,0.81818,0.79412,0.80597,1
ROUGE-1+StopWordRemoval,42,STATE.TXT,1,1,1,1
ROUGE-1+StopWordRemoval,43,STATE.TXT,0.92,0.95833,0.93878,1
,,,0.712239579,0.634205632,0.663576105,
